iso3,concept_id,magnitude,breadth,n_slope_metrics,n_improving,n_flat,n_deteriorating
BHR,14,0.0057528503877027305,0.3333333333333333,3,1,2,0
BHR,15,-0.0010031227613589828,0.0,5,0,5,0
BHR,16,-0.00028046934686865027,0.0,4,0,4,0
BHR,17,1.7833353189168305e-17,,1,0,1,0
BHR,18,-0.00016646978928900775,0.0,3,0,3,0
BHR,19,0.0007582216379916377,0.0,5,0,5,0
BHR,20,7.964824040318964e-05,0.0,9,0,9,0
BHR,21,-0.0014362086196374544,-0.1111111111111111,9,0,8,1
BHR,22,1.3670852419151139e-05,0.0,8,0,8,0
BHR,23,-0.019523630315352213,0.0,8,1,6,1
BHR,24,0.00013502739167061455,0.0,6,0,6,0
BHR,25,7.346150367426517e-18,,2,0,2,0
BRA,1,0.008420903858255299,0.2,5,1,4,0
BRA,2,0.003518219714668289,0.2,5,1,4,0
BRA,3,,,0,0,0,0
BRA,4,0.011064026713742146,,2,1,1,0
BRA,5,,,0,0,0,0
BRA,6,0.005504173774551683,,1,0,1,0
BRA,8,,,0,0,0,0
BRA,9,,,0,0,0,0
BRA,10,-0.024211862320148,,1,0,0,1
BRA,11,,,0,0,0,0
BRA,12,-0.0018050332921394437,0.0,4,0,4,0
BRA,13,0.0026204429134737,,2,0,2,0
BRA,14,0.01837970589827206,0.6,5,3,2,0
BRA,15,0.009706544322448673,0.14285714285714285,7,2,4,1
BRA,16,0.02276554343239458,0.6,5,3,2,0
BRA,17,0.008833812527167435,,2,1,1,0
BRA,18,0.00045239811244905323,0.0,4,1,2,1
BRA,19,0.013120623201418527,0.6,5,3,2,0
BRA,20,0.00041272270027143445,0.0,9,0,9,0
BRA,21,-0.0016379627937792459,0.1111111111111111,9,3,4,2
BRA,22,0.02235547916037718,0.5,8,4,4,0
BRA,23,0.00856237096181408,0.25,8,3,4,1
BRA,24,0.0015739144720774327,0.16666666666666666,6,3,1,2
BRA,25,0.009676345443795508,0.6666666666666666,3,2,1,0
BRB,1,0.0002316669262290849,0.0,5,0,5,0
BRB,2,0.0043106971813905975,0.25,4,1,3,0
BRB,3,,,0,0,0,0
BRB,4,0.004099148986238221,,2,0,2,0
BRB,5,,,0,0,0,0
BRB,6,0.008198297972476414,,1,0,1,0
BRB,8,,,0,0,0,0
BRB,9,,,0,0,0,0
BRB,10,2.117816322180881e-17,,1,0,1,0
BRB,11,,,0,0,0,0
BRB,12,0.0024735915492957203,0.0,3,0,3,0
BRB,13,0.0016434260981343517,,2,0,2,0
BRB,14,0.002297348308642999,0.0,5,0,5,0
BRB,15,-0.0010622555107614917,0.0,7,0,7,0
BRB,16,-2.864183456249431e-07,0.0,4,0,4,0
BRB,17,0.0035101248296456064,,2,0,2,0
BRB,18,3.936200934134777e-05,0.0,4,0,4,0
BRB,19,5.35703147259644e-05,0.0,5,0,5,0
BRB,20,-0.00023532434664578963,0.0,9,0,9,0
BRB,21,-0.0008561929750883492,0.0,9,1,7,1
BRB,22,-0.00011848072096592772,0.0,8,0,8,0
BRB,23,-0.0005052462650627169,0.0,8,0,8,0
BRB,24,-0.004133874312444723,-0.16666666666666666,6,0,5,1
BRB,25,0.002456016807076932,0.0,3,0,3,0
CAN,1,-0.0009266677049161399,0.0,5,0,5,0
CAN,2,0.001181594668371225,0.0,5,1,3,1
CAN,3,,,0,0,0,0
CAN,4,-0.000704995016039395,,2,0,2,0
CAN,5,,,0,0,0,0
CAN,6,-0.0014099900320788347,,1,0,1,0
CAN,8,,,0,0,0,0
CAN,9,,,0,0,0,0
CAN,10,2.0479488224381376e-17,,1,0,1,0
CAN,11,,,0,0,0,0
CAN,12,0.010011731286104684,0.16666666666666666,6,1,5,0
CAN,13,-4.2044975954890325e-18,,2,0,2,0
CAN,14,-0.0019766981805255665,0.0,5,1,3,1
CAN,15,-0.0022100361401116452,0.0,7,1,5,1
CAN,16,-0.004572611314569568,-0.2,5,0,4,1
CAN,17,-0.0014842229082114096,,2,0,2,0
CAN,18,0.00022520792636804578,0.0,4,0,4,0
CAN,19,-0.0015988851931203953,0.0,5,0,5,0
CAN,20,0.005473648287292802,0.4444444444444444,9,4,5,0
CAN,21,0.0018836941194327948,0.0,9,0,9,0
CAN,22,-0.0031355323712382323,0.0,8,1,6,1
CAN,23,-0.0015197961300257325,0.0,8,0,8,0
CAN,24,0.010129409580489105,0.16666666666666666,6,1,5,0
CAN,25,-0.007895495510755579,-0.3333333333333333,3,0,2,1
CHE,1,0.00013127792486318483,0.0,5,0,5,0
CHE,2,0.0008548921438217833,0.0,4,0,4,0
CHE,3,,,0,0,0,0
CHE,4,-6.299487052079653e-17,,1,0,1,0
CHE,5,,,0,0,0,0
