iso3,category,year,category_score
LBY,Rule of law,2005,0.3169363401
LBY,State capacity,2005,0.4493153219
LCA,Accountability,2005,0.5287462524
LCA,Economic and fiscal governance,2005,0.4078689562
LCA,Political foundations,2005,0.5769988168
LCA,Rule of law,2005,0.5532570819
LCA,State capacity,2005,0.5790807355
LIE,Accountability,2005,0.6029047728
LIE,Economic and fiscal governance,2005,0.7566643139
LIE,Political foundations,2005,0.5900751719
LIE,Rule of law,2005,0.6745705685
LIE,State capacity,2005,0.6855370853
LKA,Accountability,2005,0.3845251471
LKA,Economic and fiscal governance,2005,0.3928950436
LKA,Political foundations,2005,0.415154478
LKA,Rule of law,2005,0.4166668504
LKA,State capacity,2005,0.4304594103
LSO,Accountability,2005,0.5013046027
LSO,Economic and fiscal governance,2005,0.370288026
LSO,Political foundations,2005,0.5551812496
LSO,Rule of law,2005,0.4836324018
LSO,State capacity,2005,0.3472690308
LTU,Accountability,2005,0.6038086186
LTU,Economic and fiscal governance,2005,0.6055856323
LTU,Political foundations,2005,0.6204554291
LTU,Rule of law,2005,0.6229902444
LTU,State capacity,2005,0.6114542013
LUX,Accountability,2005,0.6730705715
LUX,Economic and fiscal governance,2005,0.6738268256
LUX,Political foundations,2005,0.654203605
LUX,Rule of law,2005,0.7052862799
LUX,State capacity,2005,0.6747139004
LVA,Accountability,2005,0.582389485
LVA,Economic and fiscal governance,2005,0.6060962729
LVA,Political foundations,2005,0.5735851209
LVA,Rule of law,2005,0.6029334688
LVA,State capacity,2005,0.5764978969
MAC,Accountability,2005,0.5037558685
MAC,Economic and fiscal governance,2005,0.5857934332
MAC,Political foundations,2005,0.5871425773
MAC,Rule of law,2005,0.8427938808
MAC,State capacity,2005,0.6621658775
MAF,Accountability,2005,0.5037558685
MAF,Economic and fiscal governance,2005,0.0205399061
MAF,Political foundations,2005,0.5457746479
MAF,State capacity,2005,0.6318787138
MAR,Accountability,2005,0.4297814146
MAR,Economic and fiscal governance,2005,0.329533616
MAR,Political foundations,2005,0.4550621937
MAR,Rule of law,2005,0.450664229
MAR,State capacity,2005,0.4374630519
MCO,Accountability,2005,0.6029047728
MCO,Economic and fiscal governance,2005,0.0205399061
MCO,Political foundations,2005,0.5734394838
MCO,Rule of law,2005,0.6955297624
MCO,State capacity,2005,0.6529791343
MDA,Accountability,2005,0.4419153016
MDA,Economic and fiscal governance,2005,0.4222940435
MDA,Political foundations,2005,0.4911634975
MDA,Rule of law,2005,0.4663921735
MDA,State capacity,2005,0.4213308875
MDG,Accountability,2005,0.4488074435
MDG,Economic and fiscal governance,2005,0.3593749957
MDG,Political foundations,2005,0.4702352903
MDG,Rule of law,2005,0.4314654537
MDG,State capacity,2005,0.37348582
MDV,Accountability,2005,0.3502337063
MDV,Economic and fiscal governance,2005,0.3262261906
MDV,Political foundations,2005,0.5343612707
MDV,Rule of law,2005,0.4051242596
MDV,State capacity,2005,0.5200719186
MEX,Accountability,2005,0.5156784224
MEX,Economic and fiscal governance,2005,0.4227603556
MEX,Political foundations,2005,0.4789032832
MEX,Rule of law,2005,0.4441287313
MEX,State capacity,2005,0.5209456164
MHL,Accountability,2005,0.6029047728
MHL,Economic and fiscal governance,2005,0.2252239667
MHL,Political foundations,2005,0.5751764784
MHL,Rule of law,2005,0.5435102264
MHL,State capacity,2005,0.4260886045
MKD,Accountability,2005,0.4968796127
MKD,Economic and fiscal governance,2005,0.4734074614
MKD,Political foundations,2005,0.4684174917
MKD,Rule of law,2005,0.5088290998
MKD,State capacity,2005,0.5579679053
MLI,Accountability,2005,0.5233308832
MLI,Economic and fiscal governance,2005,0.4486079717
MLI,Political foundations,2005,0.4874331705
MLI,Rule of law,2005,0.5057113626
MLI,State capacity,2005,0.2840038213
MLT,Accountability,2005,0.5712658243
MLT,Economic and fiscal governance,2005,0.5665627314
MLT,Political foundations,2005,0.6133601344
MLT,Rule of law,2005,0.6422101051
MLT,State capacity,2005,0.6308819517
MMR,Accountability,2005,0.2018413995
MMR,Economic and fiscal governance,2005,0.2262433348
MMR,Political foundations,2005,0.3674968916
MMR,Rule of law,2005,0.2447232892
MMR,State capacity,2005,0.2778024968
MNE,Accountability,2005,0.4923934994
MNE,Economic and fiscal governance,2005,0.3777351203
MNE,Political foundations,2005,0.5242932719
MNE,Rule of law,2005,0.5271823818
MNE,State capacity,2005,0.4915573996
MNG,Accountability,2005,0.5494001871
MNG,Economic and fiscal governance,2005,0.4250944976
MNG,Political foundations,2005,0.5739406856
MNG,Rule of law,2005,0.5206022448
MNG,State capacity,2005,0.5068482847
MNP,Accountability,2005,0.5037558685
MNP,Economic and fiscal governance,2005,0.0205399061
MNP,Political foundations,2005,0.5457746479
MNP,State capacity,2005,0.6175200353
MOZ,Accountability,2005,0.456767581
MOZ,Economic and fiscal governance,2005,0.3917990311
MOZ,Political foundations,2005,0.4692497203
MOZ,Rule of law,2005,0.4495781525
MOZ,State capacity,2005,0.3195110596
MRT,Accountability,2005,0.3566415107
MRT,Economic and fiscal governance,2005,0.3781476282
MRT,Political foundations,2005,0.3395870841
MRT,Rule of law,2005,0.3323880468
MRT,State capacity,2005,0.3318054384
MUS,Accountability,2005,0.5986010281
MUS,Economic and fiscal governance,2005,0.4683418247
MUS,Political foundations,2005,0.5716848442
MUS,Rule of law,2005,0.5732551821
MUS,State capacity,2005,0.5753006931
MWI,Accountability,2005,0.4969002931
MWI,Economic and fiscal governance,2005,0.3983362672
MWI,Political foundations,2005,0.4931909017
MWI,Rule of law,2005,0.4948419147
MWI,State capacity,2005,0.4263577898
MYS,Accountability,2005,0.4075429343
MYS,Economic and fiscal governance,2005,0.42002451
MYS,Political foundations,2005,0.4975500001
MYS,Rule of law,2005,0.4840217637
MYS,State capacity,2005,0.5344411111
