country_name,year,civicus_score,civicus_rating
North Korea,2025,2.17,Closed
North Macedonia,2023,71.39,Narrowed
North Macedonia,2024,74.0,Narrowed
North Macedonia,2025,69.17,Narrowed
Norway,2023,93.64,Open
Norway,2024,97.0,Open
Norway,2025,98.1,Open
Occupied Palestinian Territories,2023,23.34,Repressed
Occupied Palestinian Territories,2024,13.0,Closed
Occupied Palestinian Territories,2025,12.55,Closed
Oman,2022,28.96,Repressed
Oman,2023,21.95,Repressed
Oman,2024,23.0,Repressed
Oman,2025,19.46,Closed
Pakistan,2023,26.74,Repressed
Pakistan,2024,28.0,Repressed
Pakistan,2025,24.4,Repressed
Palau,2023,92.78,Open
Palau,2024,96.0,Open
Palau,2025,89.68,Open
Panama,2022,68.06,Narrowed
Panama,2023,69.66,Narrowed
Panama,2024,71.0,Narrowed
Panama,2025,73.2,Narrowed
Papua New Guinea,2022,56.12,Obstructed
Papua New Guinea,2023,59.57,Obstructed
Papua New Guinea,2024,54.0,Obstructed
Papua New Guinea,2025,53.51,Obstructed
Paraguay,2022,56.44,Obstructed
Paraguay,2023,52.41,Obstructed
Paraguay,2024,56.0,Obstructed
Paraguay,2025,51.62,Obstructed
Peru,2023,42.88,Obstructed
Peru,2024,40.0,Repressed
Peru,2025,39.75,Repressed
Philippines,2022,28.94,Repressed
Philippines,2023,31.08,Repressed
Philippines,2024,34.0,Repressed
Philippines,2025,37.83,Repressed
Poland,2023,55.51,Obstructed
Poland,2024,66.0,Narrowed
Poland,2025,69.0,Narrowed
Portugal,2023,86.54,Open
Portugal,2024,83.0,Open
Portugal,2025,81.0,Open
Qatar,2022,32.55,Repressed
Qatar,2023,26.65,Repressed
Qatar,2024,29.0,Repressed
Qatar,2025,21.1,Repressed
Republic of the Congo,2022,32.74,Repressed
Republic of the Congo,2023,33.2,Repressed
Republic of the Congo,2024,30.0,Repressed
Republic of the Congo,2025,28.42,Repressed
Romania,2023,73.1,Narrowed
Romania,2024,70.0,Narrowed
Romania,2025,61.24,Narrowed
Russia,2022,28.06,Repressed
Russia,2023,17.49,Closed
Russia,2024,14.0,Closed
Russia,2025,12.91,Closed
Rwanda,2022,23.71,Repressed
Rwanda,2023,22.81,Repressed
Rwanda,2024,25.0,Repressed
Rwanda,2025,24.96,Repressed
Saint Lucia,2023,88.31,Open
Saint Lucia,2024,88.0,Open
Saint Lucia,2025,81.43,Open
Samoa,2024,81.85,Open
Samoa,2025,81.0,Open
