country_code,year,wb_carbon_pricing_exists,wb_carbon_price_usd,wb_carbon_revenue_usd_m,wb_carbon_coverage_pct,wb_carbon_coverage_is_snapshot
DNK,2009,1,16.147542575,960.6209769,64.0,1
DNK,2010,1,22.60192429,962.0827196,64.0,1
DNK,2011,1,26.758470109999998,1159.217606,64.0,1
DNK,2012,1,19.01460623,973.0361438,64.0,1
DNK,2013,1,16.94380525,1039.412741,64.0,1
DNK,2014,1,18.66524481,678.0003305,64.0,1
DNK,2015,1,15.973795554999999,553.4561252,64.0,1
DNK,2016,1,16.003394635,553.9087997,64.0,1
DNK,2017,1,15.093588174999999,547.8400982,64.0,1
DNK,2018,1,22.430021175,564.7154522,64.0,1
DNK,2019,1,25.329395245,539.574908,64.0,1
DNK,2020,1,22.10501204,548.5175,64.0,1
DNK,2021,1,38.84962678,550.4059324,64.0,1
DNK,2022,1,56.446757604999995,472.9672917,64.0,1
DNK,2023,1,61.295595774999995,482.0308714,64.0,1
DNK,2024,1,44.85052849,503.4934812,64.0,1
DNK,2025,1,89.40245205,,64.0,1
DOM,2025,0,,,,0
ESP,2005,1,19.04973,,40.0,1
ESP,2006,1,32.353992,,40.0,1
ESP,2007,1,1.251892,,40.0,1
ESP,2008,1,34.48332,,40.0,1
ESP,2009,1,15.550804,,40.0,1
ESP,2010,1,17.265976,,40.0,1
ESP,2011,1,23.75688,,40.0,1
ESP,2012,1,9.322488,,40.0,1
ESP,2013,1,6.04396,,40.0,1
ESP,2014,1,17.16855,42.4328,40.0,1
ESP,2015,1,14.5999125,109.89,40.0,1
ESP,2016,1,14.392888000000001,,40.0,1
ESP,2017,1,13.513424,199.71,40.0,1
ESP,2018,1,20.45286,128.2251762,40.0,1
ESP,2019,1,20.679858,124.839,40.0,1
ESP,2020,1,17.47026,123.2,40.0,1
ESP,2021,1,33.699274,83.188,40.0,1
ESP,2022,1,51.552054,99.0375,40.0,1
ESP,2023,1,56.3053125,103.227,40.0,1
ESP,2024,1,38.7125235,118.195,40.0,1
ESP,2025,1,43.276062,,40.0,1
EST,2000,1,0.0,2.8668,40.0,1
EST,2001,1,0.0,4.24,40.0,1
EST,2002,1,0.0,4.9565,40.0,1
EST,2003,1,0.0,6.9258,40.0,1
EST,2004,1,0.0,6.084,40.0,1
EST,2005,1,9.524865,9.6696,40.0,1
EST,2006,1,16.176996,13.9843,40.0,1
EST,2007,1,0.625946,18.907,40.0,1
EST,2008,1,17.24166,4.7325,40.0,1
EST,2009,1,7.775402,4.2288,40.0,1
EST,2010,1,8.632988,2.4656,40.0,1
EST,2011,1,13.292539999999999,2.8976,40.0,1
EST,2012,1,5.996843999999999,2.518,40.0,1
EST,2013,1,4.30248,2.6074,40.0,1
EST,2014,1,4.75755,2.7376,40.0,1
EST,2015,1,4.920412499999999,2.22,40.0,1
EST,2016,1,4.104088,2.7959985,40.0,1
EST,2017,1,3.8915239999999995,2.8655532,40.0,1
EST,2018,1,9.363959999999999,2.9273238,40.0,1
EST,2019,1,13.376458,2.8497339,40.0,1
EST,2020,1,10.36186,1.5904,40.0,1
EST,2021,1,26.064374,2.032164,40.0,1
EST,2022,1,44.36825399999999,1.6419375,40.0,1
EST,2023,1,49.2365625,1.711395,40.0,1
EST,2024,1,31.7256735,2.149,40.0,1
EST,2025,1,48.670062,,40.0,1
FIN,1999,1,0.0,0.0,45.0,1
FIN,2000,1,16.392948,0.0,45.0,1
FIN,2001,1,15.155712,0.0,45.0,1
FIN,2002,1,14.970384,0.0,45.0,1
FIN,2003,1,19.658255,0.0,45.0,1
FIN,2004,1,22.2376,564.5952,45.0,1
FIN,2005,1,21.2203625,540.2889,45.0,1
FIN,2006,1,27.100856,583.5267,45.0,1
FIN,2007,1,12.645441,609.0755,45.0,1
FIN,2008,1,32.75289,766.665,45.0,1
FIN,2009,1,21.292945,569.4784,45.0,1
FIN,2010,1,22.377082,600.3736,45.0,1
FIN,2011,1,47.23094,1018.5064,45.0,1
FIN,2012,1,44.729243999999994,1257.741,45.0,1
FIN,2013,1,35.03448,1348.0258,45.0,1
FIN,2014,1,43.36955,1446.8216,45.0,1
FIN,2015,1,35.0344125,1236.54,45.0,1
FIN,2016,1,36.113687999999996,1314.625938,45.0,1
FIN,2017,1,33.826324,1442.90475,45.0,1
FIN,2018,1,53.10351,1513.354125,45.0,1
FIN,2019,1,55.511458000000005,1473.242063,45.0,1
FIN,2020,1,51.37186,1453.76,45.0,1
FIN,2021,1,70.111874,1663.76,45.0,1
FIN,2022,1,85.813254,1636.052419,45.0,1
FIN,2023,1,90.01781249999999,2095.01913,45.0,1
FIN,2024,1,80.64320502,1375.36,45.0,1
FIN,2025,1,68.627862,,45.0,1
FRA,2005,1,19.04973,,41.0,1
FRA,2006,1,32.353992,,41.0,1
FRA,2007,1,1.251892,,41.0,1
FRA,2008,1,34.48332,,41.0,1
FRA,2009,1,15.550804,,41.0,1
FRA,2010,1,17.265976,,41.0,1
FRA,2011,1,23.75688,,41.0,1
FRA,2012,1,9.322488,,41.0,1
FRA,2013,1,6.04396,,41.0,1
FRA,2014,1,8.20505,410.64,41.0,1
FRA,2015,1,11.6422875,2553.0,41.0,1
FRA,2016,1,15.536088000000001,4231.3,41.0,1
FRA,2017,1,19.126199,6205.8456,41.0,1
FRA,2018,1,35.60769,9610.8552,41.0,1
FRA,2019,1,37.309138000000004,9306.18,41.0,1
FRA,2020,1,33.65554,9184.0,41.0,1
FRA,2021,1,51.083354,9031.84,41.0,1
FRA,2022,1,67.909014,8027.25,41.0,1
FRA,2023,1,72.4003125,8366.82,41.0,1
FRA,2024,1,54.6210435,7843.85,41.0,1
FRA,2025,1,59.242302,,41.0,1
GBR,2009,1,,0.0,27.0,1
GBR,2010,1,,0.0,27.0,1
GBR,2011,1,,0.0,27.0,1
GBR,2012,1,,0.0,27.0,1
GBR,2013,1,7.470268,1021.4633,27.0,1
GBR,2014,1,15.894065,2047.752,27.0,1
GBR,2015,1,26.711392,2643.2392,27.0,1
GBR,2016,1,25.7148,1247.308554,27.0,1
GBR,2017,1,22.4145,1139.023901,27.0,1
GBR,2018,1,25.3107,1093.915238,27.0,1
GBR,2019,1,23.589,1120.9019,27.0,1
GBR,2020,1,22.284,853.4984,27.0,1
GBR,2021,1,12.3975,6667.447072,27.0,1
GBR,2022,1,61.105650000000004,8246.44045,27.0,1
GBR,2023,1,55.20091775,6331.683513,27.0,1
