iso3,Accountability,Economic and fiscal governance,Political foundations,Rule of law,State capacity
MCO,0.5928593324282754,0.5040128396207961,0.5864630263162028,0.82452163076668,0.5941964727054477
MDA,0.5337792752197222,0.5365612112869499,0.5444851244126079,0.5179068304328261,0.5461752185329913
MDG,0.42785519933009664,0.40278721208781404,0.45000776392929887,0.3679595630696821,0.32434129973395925
MDV,0.4991517785992503,0.40392221894740793,0.4931325397504137,0.5186238086764083,0.522703064578348
MEX,0.4645155283927559,0.5339075773053801,0.451111215975868,0.35537037589007264,0.4999580080999578
MHL,0.5728011421140512,0.444932681843626,0.5880841581290752,0.5619860827498887,0.41377284281819265
MKD,0.5196201619143918,0.5470041894248461,0.49297746325183206,0.4746065209258659,0.5345856393796238
MLI,0.37452542503614616,0.4521912798251457,0.3197782343481234,0.43488803146653987,0.3585546949597572
MLT,0.603235585315308,0.6130689961871515,0.6650153873426824,0.6370671230112925,0.6150894913243711
MMR,0.22412012113928556,0.3361773483958344,0.2116705152245417,0.2802405476013115,0.3410128661100432
MNE,0.5625339624756173,0.5757310949265905,0.5262531258724347,0.5476238808220264,0.5450014249659283
MNG,0.544471821755403,0.48813010427102377,0.522865651152333,0.47527834721499856,0.5598596914375457
MNP,0.503755868544601,0.0205399061032863,0.5457746478873239,,0.651845638810598
MOZ,0.3962922674320061,0.3988794263117923,0.43632306946933835,0.36365094155533484,0.3674543783168466
MRT,0.40331703616149667,0.4023457557111876,0.36089107366059103,0.348623064155854,0.39269995138416336
MUS,0.5944430751216189,0.5500802796669074,0.5444455179740485,0.5817761226182101,0.5709474783526343
MWI,0.5470934540860727,0.48679808382325335,0.4767873918110678,0.5004895606516986,0.4552409367616178
MYS,0.46428354529000054,0.5343291432740054,0.5263265060658198,0.5453275603620122,0.5462718335041802
NAM,0.5688991581540221,0.4497081368388853,0.5680946917390823,0.5667753595212464,0.4997145715804987
NCL,0.503755868544601,0.29145179631689516,0.5805239053069002,0.4776268477826608,0.6294275537490247
NER,0.4364248809959698,0.4241254299376859,0.35960388801560544,0.42476836611289703,0.38450843681854874
NGA,0.4694383036775353,0.45888775362450107,0.3411327951280023,0.39034744631128065,0.3524147921318315
NIC,0.22168352615392287,0.445723857960301,0.38211396483215143,0.22249106260149404,0.36709960121058943
NLD,0.654932794585319,0.7191316632014733,0.6425414249120593,0.7360959128063369,0.6816165889053409
NOR,0.7176479493634309,0.6687059036573162,0.6851842095753029,0.7704414812208816,0.6969791842068468
NPL,0.5400666252233264,0.45777735906826544,0.4952516665114389,0.4718521127100089,0.48041077872727045
NRU,0.514668094223319,0.3862258988794514,0.5808221707280414,0.5522499144780869,0.42746103420696224
NZL,0.6431855819251039,0.6359449662259802,0.6587381968000715,0.7606374178253918,0.6931041111673786
OMN,0.33514018519592587,0.5147714078200799,0.5025638615962718,0.5264503607956268,0.5661372632081251
PAK,0.39808489514207157,0.42932242877461285,0.3270252531834458,0.34419891843660777,0.3466345269896865
PAN,0.568374764281449,0.5196074198782661,0.5422690299984094,0.49839038694310106,0.5331331524326375
PER,0.5190804900890693,0.6081422721555757,0.4783189523645677,0.46038652633068156,0.4940982196005934
PHL,0.45399924836614536,0.5223304948380771,0.3707854150854746,0.39469547296536006,0.4730076004046425
PLW,0.5896163175379517,0.4325526509883345,0.5864630263162028,0.3710164239161913,0.48384159336588556
PNG,0.49229867303531344,0.4576225843790839,0.5085385187581921,0.44683554786094853,0.3292721646786913
POL,0.617753866973211,0.6132000067710094,0.6026049013715924,0.6168179788417648,0.6373193961113588
PRI,0.5518576759767495,0.4590756666784562,0.5527676421922396,0.41269737010963603,0.5171687447842744
PRT,0.6292996482314018,0.6499130175154714,0.587291689482385,0.5923257686812768,0.65823883166261
PRY,0.4814430394666446,0.53894586263312,0.48851666133569416,0.40716680133679367,0.4550032845807029
PSE,0.31279497007708057,0.34456798955652,0.4716489818114191,0.4559421946180061,0.36098199850458507
PYF,0.503755868544601,0.33507313611477063,0.5776917413757207,0.9490611266480224,0.673283455648305
