iso3,peers
SSD,"RWA,TCD,BFA,LSO,MLI,GNB,SDN,UGA,LBR,SYR"
STP,"SWZ,DJI,LBN,PHL,UZB,NAM,IRN,HND,TUN,MRT"
SUR,"PRY,JAM,ECU,GTM,SLV,COL,MNG,GNQ,BOL,BWA"
SVK,"HRV,HUN,POL,LVA,LTU,GRC,KWT,CZE,EST,BHR"
SVN,"EST,LTU,CZE,CYP,SVK,KWT,LVA,HRV,BHR,PRT"
SWE,"AUT,BEL,FIN,NLD,DEU,GBR,DNK,CAN,FRA,ISR"
SWZ,"DJI,NAM,LBN,TUN,GHA,GNQ,ZWE,IRN,AGO,MAR"
SYC,"TTO,PAN,CRI,OMN,BGR,TUR,CHL,RUS,ROU,LVA"
SYR,"TCD,BFA,RWA,MLI,SDN,UGA,LSO,ZMB,GNB,ETH"
TCD,"RWA,BFA,MLI,SYR,SDN,LBR,UGA,LSO,ETH,ZMB"
TGO,"ZMB,TZA,BEN,MLI,RWA,BFA,UGA,GNB,SDN,LSO"
THA,"MNG,COL,VNM,MYS,IDN,ZAF,ECU,AZE,PER,JAM"
TJK,"BEN,NPL,GIN,TGO,SEN,MMR,SYR,KGZ,CMR,ZMB"
TLS,"MMR,NPL,TGO,GNB,ZMB,LSO,PAK,LAO,TZA,MLI"
TON,"MNG,THA,VNM,IDN,GNQ,LBY,ZAF,GTM,LKA,PHL"
TTO,"PAN,CRI,CHL,URY,ARG,OMN,BGR,MEX,DOM,SRB"
TUN,"MAR,LBN,JOR,IRQ,LKA,NAM,IRN,LBY,DZA,UZB"
TUR,"RUS,OMN,BGR,ROU,KAZ,CHL,SRB,POL,HUN,ARG"
TUV,"LBY,ZAF,GTM,GNQ,DZA,UKR,SLV,PRY,MNG,ECU"
TZA,"ZMB,UGA,SDN,NGA,MLI,TGO,BFA,RWA,TCD,BEN"
UGA,"SDN,MLI,BFA,TZA,NGA,ZMB,RWA,TCD,TGO,GNB"
UKR,"DZA,IRQ,JOR,AZE,LBY,MAR,UZB,TUN,ZAF,SLV"
URY,"PAN,CRI,TTO,CHL,HRV,LVA,HUN,GRC,SVK,ROU"
USA,"NOR,SGP,NLD,DNK,CAN,DEU,AUS,CHE,GBR,SWE"
UZB,"IRN,MAR,KGZ,UKR,TUN,LBN,IRQ,EGY,PHL,JOR"
VCT,"MUS,ALB,MYS,MKD,CHN,MEX,BIH,DOM,KAZ,BRA"
VEN,"HND,NIC,HTI,BOL,GHA,AGO,CIV,UZB,ZWE,IRN"
VNM,"IDN,PHL,LKA,THA,IRQ,MAR,BOL,MNG,UKR,JOR"
VUT,"PHL,SWZ,DJI,PNG,IDN,VNM,KHM,LKA,LBN,MNG"
WSM,"MNG,VNM,IDN,LKA,THA,SLV,PHL,GNQ,UKR,LBY"
XKX,"MDA,AZE,ARM,GEO,MKD,BIH,BLR,BWA,JAM,LBY"
YEM,"MOZ,MDG,MWI,NER,CAF,COD,SYR,SLE,AFG,ETH"
ZAF,"DZA,GNQ,LBY,IRQ,BWA,GAB,JOR,GTM,MAR,NAM"
ZMB,"TZA,MLI,TGO,BFA,UGA,RWA,SDN,TCD,BEN,NGA"
ZWE,"CIV,AGO,GHA,COG,EGY,KEN,PNG,SEN,KHM,DJI"
