iso3,concept_id,bucket,subtotal,w_nominal,w_renorm,contribution,n_present,present
ESP,8,external,0.5331638613239134,0.2,0.2,0.10663277226478268,4,True
ESP,8,fiscal,0.6817753106737732,0.4,0.4,0.2727101242695093,5,True
ESP,8,monetary,0.7111487443177932,0.4,0.4,0.28445949772711726,2,True
EST,8,external,0.5809425568722699,0.2,0.2,0.11618851137445399,4,True
EST,8,fiscal,0.7177005226769285,0.4,0.4,0.2870802090707714,4,True
EST,8,monetary,0.74429529897488,0.4,0.4,0.29771811958995203,2,True
ETH,8,external,0.24008560869256632,0.2,0.2,0.04801712173851327,4,True
ETH,8,fiscal,0.4033542839933359,0.4,0.4,0.16134171359733437,3,True
ETH,8,monetary,0.3307406710392327,0.4,0.4,0.13229626841569309,2,True
FIN,8,external,0.5224244131130836,0.2,0.2,0.10448488262261674,4,True
FIN,8,fiscal,0.35836064627690223,0.4,0.4,0.1433442585107609,4,True
FIN,8,monetary,0.7377159007976118,0.4,0.4,0.2950863603190447,2,True
FJI,8,external,0.23649241013230737,0.2,0.2,0.047298482026461475,4,True
FJI,8,fiscal,0.5735664327047617,0.4,0.4,0.2294265730819047,3,True
FJI,8,monetary,0.5486086606209098,0.4,0.4,0.21944346424836395,1,True
FRA,8,external,0.6587888417561172,0.2,0.2,0.13175776835122344,4,True
FRA,8,fiscal,0.8101103638503682,0.4,0.4,0.32404414554014727,5,True
FRA,8,monetary,0.7305636877877508,0.4,0.4,0.29222547511510033,2,True
FSM,8,external,0.4672467469321963,0.2,1.0,0.4672467469321963,4,True
FSM,8,fiscal,,0.4,0.0,0.0,0,False
FSM,8,monetary,,0.4,0.0,0.0,0,False
GAB,8,external,0.24426094556705716,0.2,0.2,0.04885218911341144,4,True
GAB,8,fiscal,0.31240442125640916,0.4,0.4,0.12496176850256367,4,True
GAB,8,monetary,0.6852183006924606,0.4,0.4,0.27408732027698424,1,True
GBR,8,external,0.5773694320469845,0.2,0.2,0.11547388640939692,4,True
GBR,8,fiscal,0.4757864456305346,0.4,0.4,0.19031457825221387,4,True
GBR,8,monetary,0.3921563899486718,0.4,0.4,0.15686255597946874,2,True
GEO,8,external,0.6587888417561172,0.2,0.2,0.13175776835122344,4,True
GEO,8,fiscal,0.6853019814144482,0.4,0.4,0.2741207925657793,7,True
GEO,8,monetary,0.6986748302532234,0.4,0.4,0.2794699321012894,2,True
GHA,8,external,0.5415177413842891,0.2,0.2,0.10830354827685783,4,True
GHA,8,fiscal,0.4416706942691627,0.4,0.4,0.1766682777076651,3,True
GHA,8,monetary,0.5510322780114344,0.4,0.4,0.22041291120457376,2,True
GIN,8,external,0.42020574831655794,0.2,0.2,0.0840411496633116,4,True
GIN,8,fiscal,0.2910816812782652,0.4,0.4,0.1164326725113061,3,True
GIN,8,monetary,0.4730831211367578,0.4,0.4,0.18923324845470313,1,True
GMB,8,external,0.7402261595937544,0.2,0.2,0.14804523191875088,4,True
GMB,8,fiscal,0.3163832634138116,0.4,0.4,0.12655330536552464,3,True
GMB,8,monetary,0.5113458596045835,0.4,0.4,0.2045383438418334,2,True
GNB,8,external,0.49873237458303565,0.2,0.2,0.09974647491660714,4,True
GNB,8,fiscal,0.42074605095264744,0.4,0.4,0.168298420381059,3,True
GNB,8,monetary,0.6335000483928904,0.4,0.4,0.25340001935715617,2,True
GNQ,8,external,0.24426094556705713,0.2,0.2,0.04885218911341143,4,True
GNQ,8,fiscal,0.2971562367770721,0.4,0.4,0.11886249471082884,3,True
GNQ,8,monetary,0.6852183006924606,0.4,0.4,0.27408732027698424,1,True
GRC,8,external,0.5773694320469845,0.2,0.2,0.11547388640939692,4,True
GRC,8,fiscal,0.7177005226769285,0.4,0.4,0.2870802090707714,4,True
GRC,8,monetary,0.7261353202759606,0.4,0.4,0.29045412811038424,2,True
GRD,8,external,0.37287691251031446,0.2,0.2,0.0745753825020629,4,True
GRD,8,fiscal,0.5848588301901243,0.4,0.4,0.23394353207604973,4,True
GRD,8,monetary,0.3651731662759164,0.4,0.4,0.14606926651036656,1,True
GRL,8,external,,0.2,0.0,0.0,0,False
GRL,8,fiscal,0.8029112486851023,0.4,1.0,0.8029112486851023,2,True
GRL,8,monetary,,0.4,0.0,0.0,0,False
GTM,8,external,0.6551956431958582,0.2,0.2,0.13103912863917164,4,True
GTM,8,fiscal,0.5319649274502113,0.4,0.4,0.21278597098008453,3,True
GTM,8,monetary,0.4451844498800524,0.4,0.4,0.17807377995202098,1,True
GUY,8,external,0.6900418221599702,0.2,1.0,0.6900418221599702,4,True
GUY,8,fiscal,,0.4,0.0,0.0,0,False
GUY,8,monetary,,0.4,0.0,0.0,0,False
HKG,8,external,0.669528289966947,0.2,0.2,0.1339056579933894,4,True
HKG,8,fiscal,0.4825658564160542,0.4,0.4,0.1930263425664217,3,True
HKG,8,monetary,0.7195358354594417,0.4,0.4,0.28781433418377667,1,True
HND,8,external,0.5092592492818526,0.2,0.2,0.10185184985637052,4,True
HND,8,fiscal,0.5015485854391111,0.4,0.4,0.20061943417564443,5,True
HND,8,monetary,0.5866215689054494,0.4,0.4,0.23464862756217975,1,True
HRV,8,external,0.5522772633300925,0.2,0.2,0.11045545266601851,4,True
HRV,8,fiscal,0.5787267743928296,0.4,0.4,0.23149070975713185,5,True
HRV,8,monetary,0.7327147184532287,0.4,0.4,0.2930858873812915,2,True
HTI,8,external,0.7402261595937544,0.2,0.3333333333333333,0.24674205319791812,4,True
HTI,8,fiscal,,0.4,0.0,0.0,0,False
HTI,8,monetary,0.2971773119070455,0.4,0.6666666666666666,0.1981182079380303,2,True
HUN,8,external,0.529590736498628,0.2,0.2,0.1059181472997256,4,True
HUN,8,fiscal,0.6235571001072701,0.4,0.4,0.24942284004290804,4,True
HUN,8,monetary,0.7247692224051688,0.4,0.4,0.28990768896206753,2,True
IDN,8,external,0.42422873288395646,0.2,0.2,0.0848457465767913,4,True
IDN,8,fiscal,0.5162321394013397,0.4,0.4,0.2064928557605359,6,True
IDN,8,monetary,0.6299814092780075,0.4,0.4,0.251992563711203,2,True
IND,8,external,0.23370216097098898,0.2,0.2,0.046740432194197795,4,True
IND,8,fiscal,0.4272413005886292,0.4,0.4,0.17089652023545168,5,True
IND,8,monetary,0.5275484268546232,0.4,0.4,0.2110193707418493,2,True
IRL,8,external,0.5881088802578144,0.2,0.2,0.11762177605156288,4,True
IRL,8,fiscal,0.5250273129435689,0.4,0.4,0.21001092517742756,4,True
IRL,8,monetary,0.7189831072660996,0.4,0.4,0.28759324290643984,2,True
IRN,8,external,0.5044985677817359,0.2,0.2,0.10089971355634718,4,True
IRN,8,fiscal,0.4465328797499009,0.4,0.4,0.17861315189996038,4,True
IRN,8,monetary,0.2583159914624979,0.4,0.4,0.10332639658499916,1,True
IRQ,8,external,0.31536211484324256,0.2,0.2,0.06307242296864851,4,True
IRQ,8,fiscal,0.2743132539127434,0.4,0.4,0.10972530156509737,3,True
IRQ,8,monetary,0.558358304978008,0.4,0.4,0.22334332199120321,1,True
ISL,8,external,0.5737762334867256,0.2,0.2,0.11475524669734512,4,True
ISL,8,fiscal,0.4298501978518937,0.4,0.4,0.17194007914075748,3,True
ISL,8,monetary,0.5786124342763871,0.4,0.4,0.23144497371055484,2,True
ISR,8,external,0.5809425568722699,0.2,0.2,0.11618851137445399,4,True
ISR,8,fiscal,0.41550537026568685,0.4,0.4,0.16620214810627476,3,True
ISR,8,monetary,0.6980791964298586,0.4,0.4,0.2792316785719435,1,True
ITA,8,external,0.6659551651416616,0.2,0.2,0.13319103302833232,4,True
ITA,8,fiscal,0.667331824830663,0.4,0.4,0.2669327299322652,5,True
ITA,8,monetary,0.7024882578746999,0.4,0.4,0.28099530314987997,2,True
JAM,8,external,0.5393246730108744,0.2,0.2,0.10786493460217489,4,True
JAM,8,fiscal,0.6041934482757078,0.4,0.4,0.2416773793102831,7,True
JAM,8,monetary,0.4899393319736524,0.4,0.4,0.19597573278946098,2,True
JOR,8,external,0.5881088802578144,0.2,0.2,0.11762177605156288,4,True
JOR,8,fiscal,0.6579478089036463,0.4,0.4,0.26317912356145856,3,True
JOR,8,monetary,0.5451604235074582,0.4,0.4,0.2180641694029833,2,True
JPN,8,external,0.6217875762820685,0.2,0.2,0.1243575152564137,4,True
JPN,8,fiscal,0.4070464569817834,0.4,0.4,0.16281858279271336,4,True
JPN,8,monetary,0.3215262276732547,0.4,0.4,0.1286104910693019,2,True
KAZ,8,external,0.35378141863263995,0.2,0.2,0.070756283726528,4,True
KAZ,8,fiscal,0.6393164742520117,0.4,0.4,0.2557265897008047,7,True
KAZ,8,monetary,0.5768565055489073,0.4,0.4,0.23074260221956294,2,True
KEN,8,external,0.5080716926070213,0.2,0.2,0.10161433852140428,4,True
KEN,8,fiscal,0.4889534162348336,0.4,0.4,0.19558136649393346,7,True
KEN,8,monetary,0.47379670457983547,0.4,0.4,0.1895186818319342,2,True
KGZ,8,external,0.5379245428240301,0.2,0.2,0.10758490856480603,4,True
KGZ,8,fiscal,0.6382274958183064,0.4,0.4,0.25529099832732255,3,True
