iso3,category,category_score,n_concepts,sum_effective_weight,category_weight_rule
CUW,Economic and fiscal governance,0.3316489736953015,3,2.25,equal
CUW,Rule of law,0.1428286056731922,1,1.0,equal
CUW,State capacity,0.5213092213533851,1,1.0,equal
CYM,Economic and fiscal governance,0.4251535444053946,4,2.75,equal
CYM,Political foundations,0.7459225084150053,1,1.0,equal
CYM,Rule of law,0.4061126648022373,1,1.0,equal
CYM,State capacity,0.6491747611138591,2,2.0,equal
CYP,Accountability,0.6049626139464843,7,7.0,equal
CYP,Economic and fiscal governance,0.6265034340998478,6,4.75,equal
CYP,Political foundations,0.5806031722533801,2,2.0,equal
CYP,Rule of law,0.6308990523101135,5,5.0,equal
CYP,State capacity,0.5582338161738604,4,4.0,equal
CZE,Accountability,0.6527226859918863,7,7.0,equal
CZE,Economic and fiscal governance,0.6403395804882189,6,4.75,equal
CZE,Political foundations,0.601492384168058,2,2.0,equal
CZE,Rule of law,0.6787290051323507,5,5.0,equal
CZE,State capacity,0.6495128784036444,4,4.0,equal
DEU,Accountability,0.6974994780401005,7,7.0,equal
DEU,Economic and fiscal governance,0.7143421766683301,6,4.75,equal
DEU,Political foundations,0.657005032223636,2,2.0,equal
DEU,Rule of law,0.7427485059177498,5,5.0,equal
DEU,State capacity,0.6961338470238716,4,4.0,equal
DJI,Accountability,0.3390454579547667,7,7.0,equal
DJI,Economic and fiscal governance,0.37547759915463813,6,4.75,equal
DJI,Political foundations,0.48490958087902336,2,2.0,equal
DJI,Rule of law,0.4123023837912374,5,5.0,equal
DJI,State capacity,0.3663975798188578,4,4.0,equal
DMA,Accountability,0.5458345491456841,6,6.0,equal
DMA,Economic and fiscal governance,0.4577917508283031,5,3.75,equal
DMA,Political foundations,0.5632402146759028,1,1.0,equal
DMA,Rule of law,0.5285859911413875,5,5.0,equal
DMA,State capacity,0.41839186601879247,3,3.0,equal
DNK,Accountability,0.723075709151762,7,7.0,equal
DNK,Economic and fiscal governance,0.6628949484691162,6,4.75,equal
DNK,Political foundations,0.6898636195346625,2,2.0,equal
DNK,Rule of law,0.7865942105894181,5,5.0,equal
DNK,State capacity,0.7083556517242274,4,4.0,equal
DOM,Accountability,0.5456152631236811,7,7.0,equal
DOM,Economic and fiscal governance,0.5490827839542034,6,4.75,equal
DOM,Political foundations,0.5305664199006885,2,2.0,equal
DOM,Rule of law,0.469647860235508,5,5.0,equal
DOM,State capacity,0.516773889103522,4,4.0,equal
DZA,Accountability,0.34222361593579864,7,7.0,equal
DZA,Economic and fiscal governance,0.3177524366164804,6,4.75,equal
DZA,Political foundations,0.5001878550307526,2,2.0,equal
DZA,Rule of law,0.4123538715504256,5,5.0,equal
DZA,State capacity,0.45672596143818633,4,4.0,equal
ECU,Accountability,0.5046419659206351,7,7.0,equal
ECU,Economic and fiscal governance,0.49903869442686927,6,4.75,equal
ECU,Political foundations,0.4553917041098646,2,2.0,equal
ECU,Rule of law,0.4023770935609277,5,5.0,equal
ECU,State capacity,0.46880605307760564,4,4.0,equal
EGY,Accountability,0.29150778117587084,7,7.0,equal
EGY,Economic and fiscal governance,0.4104999960943049,6,4.75,equal
EGY,Political foundations,0.39755844396841866,2,2.0,equal
EGY,Rule of law,0.35965195640953135,5,5.0,equal
EGY,State capacity,0.49567500509524975,4,4.0,equal
ESP,Accountability,0.6285561897295758,7,7.0,equal
ESP,Economic and fiscal governance,0.6689869286974636,6,4.75,equal
ESP,Political foundations,0.5763239614441424,2,2.0,equal
ESP,Rule of law,0.6711594942178795,5,5.0,equal
ESP,State capacity,0.6483142466833863,4,4.0,equal
EST,Accountability,0.6928055562699428,7,7.0,equal
EST,Economic and fiscal governance,0.6646274364925413,6,4.75,equal
EST,Political foundations,0.6118892777844466,2,2.0,equal
EST,Rule of law,0.7106052683737865,5,5.0,equal
EST,State capacity,0.6795777188093449,4,4.0,equal
ETH,Accountability,0.3640010946684645,7,7.0,equal
ETH,Economic and fiscal governance,0.3430736683339049,6,4.75,equal
ETH,Political foundations,0.3455296414294587,2,2.0,equal
ETH,Rule of law,0.3483620938303473,5,5.0,equal
ETH,State capacity,0.3162940551638692,4,4.0,equal
FIN,Accountability,0.6968019033642168,7,7.0,equal
FIN,Economic and fiscal governance,0.6486196628009505,6,4.75,equal
FIN,Political foundations,0.6741391758125921,2,2.0,equal
FIN,Rule of law,0.7341956189699059,5,5.0,equal
FIN,State capacity,0.7016257992391,4,4.0,equal
FJI,Accountability,0.533179600676207,7,7.0,equal
FJI,Economic and fiscal governance,0.5073599067405034,6,4.75,equal
FJI,Political foundations,0.5003346748199029,2,2.0,equal
FJI,Rule of law,0.48935832360306597,5,5.0,equal
FJI,State capacity,0.5124227020648028,4,4.0,equal
FRA,Accountability,0.6482207348152871,7,7.0,equal
FRA,Economic and fiscal governance,0.6863627519041712,6,4.75,equal
FRA,Political foundations,0.6011096609758658,2,2.0,equal
FRA,Rule of law,0.6858506351062679,5,5.0,equal
FRA,State capacity,0.651368688133657,4,4.0,equal
FRO,Economic and fiscal governance,0.240986918028977,1,0.5,equal
FRO,State capacity,0.6965532260527731,1,1.0,equal
FSM,Accountability,0.5560607053675218,6,6.0,equal
FSM,Economic and fiscal governance,0.33466143376010776,4,3.0,equal
FSM,Political foundations,0.597706841533743,2,2.0,equal
FSM,Rule of law,0.6664483230227803,3,3.0,equal
FSM,State capacity,0.44028947381450584,4,4.0,equal
GAB,Accountability,0.4340501906702054,7,7.0,equal
GAB,Economic and fiscal governance,0.364784821370656,6,4.75,equal
GAB,Political foundations,0.4686250848104395,2,2.0,equal
GAB,Rule of law,0.46221793170219894,5,5.0,equal
GAB,State capacity,0.4214125236325932,4,4.0,equal
GBR,Accountability,0.6287105490895761,7,7.0,equal
GBR,Economic and fiscal governance,0.6569505548835345,6,4.75,equal
GBR,Political foundations,0.5406795520082746,2,2.0,equal
GBR,Rule of law,0.6783951596853679,5,5.0,equal
GBR,State capacity,0.6447219298264487,4,4.0,equal
GEO,Accountability,0.48003260157156574,7,7.0,equal
GEO,Economic and fiscal governance,0.5818037179423271,6,4.75,equal
GEO,Political foundations,0.4555698594714219,2,2.0,equal
GEO,Rule of law,0.5085553560260637,5,5.0,equal
GEO,State capacity,0.5216509804290412,4,4.0,equal
GHA,Accountability,0.6029275016516823,7,7.0,equal
GHA,Economic and fiscal governance,0.5061523625006199,6,4.75,equal
GHA,Political foundations,0.5418395744047141,2,2.0,equal
GHA,Rule of law,0.5284052381771371,5,5.0,equal
GHA,State capacity,0.4773995990345796,4,4.0,equal
GIB,Economic and fiscal governance,0.4054274563229535,2,1.25,equal
GIB,Rule of law,0.991410307630843,1,1.0,equal
GIB,State capacity,0.6386361018682248,1,1.0,equal
GIN,Accountability,0.3743219725318875,7,7.0,equal
GIN,Economic and fiscal governance,0.3922943733816066,6,4.75,equal
GIN,Political foundations,0.4168521328102376,2,2.0,equal
GIN,Rule of law,0.3279321848183387,5,5.0,equal
GIN,State capacity,0.31876196734820306,4,4.0,equal
GMB,Accountability,0.53980648953677,7,7.0,equal
GMB,Economic and fiscal governance,0.4188730446320473,6,4.75,equal
GMB,Political foundations,0.5091741867120155,2,2.0,equal
GMB,Rule of law,0.5421279797782237,5,5.0,equal
GMB,State capacity,0.4415785157501608,4,4.0,equal
GNB,Accountability,0.4194635123233602,7,7.0,equal
GNB,Economic and fiscal governance,0.3890390331532274,6,4.75,equal
GNB,Political foundations,0.3847926166609867,2,2.0,equal
GNB,Rule of law,0.38051345225653604,5,5.0,equal
GNB,State capacity,0.3247786403449616,4,4.0,equal
GNQ,Accountability,0.2418097180104561,7,7.0,equal
GNQ,Economic and fiscal governance,0.2814396768718435,6,4.75,equal
GNQ,Political foundations,0.42179511063367375,2,2.0,equal
GNQ,Rule of law,0.2994793792923523,5,5.0,equal
GNQ,State capacity,0.3485556287816225,4,4.0,equal
GRC,Accountability,0.5819313295014366,7,7.0,equal
GRC,Economic and fiscal governance,0.6207299991886509,6,4.75,equal
GRC,Political foundations,0.5874920610645111,2,2.0,equal
GRC,Rule of law,0.582248982520079,5,5.0,equal
GRC,State capacity,0.5816915758290997,4,4.0,equal
GRD,Accountability,0.5606079590815277,6,6.0,equal
GRD,Economic and fiscal governance,0.4393101159551744,5,3.75,equal
GRD,Political foundations,0.5935141463969867,2,2.0,equal
GRD,Rule of law,0.5247854436060131,5,5.0,equal
GRD,State capacity,0.48822539969431616,4,4.0,equal
GRL,Economic and fiscal governance,0.5574816879256957,3,2.5,equal
GRL,Political foundations,0.7088331159486042,1,1.0,equal
GRL,Rule of law,0.3589692369157011,1,1.0,equal
GRL,State capacity,0.5747565214897543,3,3.0,equal
GTM,Accountability,0.5382489614923104,7,7.0,equal
GTM,Economic and fiscal governance,0.5658192837330003,6,4.75,equal
GTM,Political foundations,0.4856041287563243,2,2.0,equal
GTM,Rule of law,0.4143424577902673,5,5.0,equal
GTM,State capacity,0.4655622678314428,4,4.0,equal
GUM,Economic and fiscal governance,0.43020289423837954,2,1.5,equal
GUM,Political foundations,0.6671134217019707,1,1.0,equal
GUM,Rule of law,0.4093088294047143,1,1.0,equal
GUM,State capacity,0.6663624508253556,2,2.0,equal
GUY,Accountability,0.49433745291117853,7,7.0,equal
GUY,Economic and fiscal governance,0.46741534418393726,6,4.75,equal
GUY,Political foundations,0.502527246388917,2,2.0,equal
GUY,Rule of law,0.4884685810759358,5,5.0,equal
GUY,State capacity,0.4523527182410172,4,4.0,equal
HKG,Accountability,0.36207821820006053,7,7.0,equal
HKG,Economic and fiscal governance,0.6233911284294901,6,4.75,equal
HKG,Political foundations,0.5570035837697801,2,2.0,equal
HKG,Rule of law,0.6417581244380742,5,5.0,equal
HKG,State capacity,0.4693828625055243,4,4.0,equal
HND,Accountability,0.4907796537300796,7,7.0,equal
HND,Economic and fiscal governance,0.5047723629594937,6,4.75,equal
HND,Political foundations,0.4644815757472562,2,2.0,equal
HND,Rule of law,0.4154045846983331,5,5.0,equal
HND,State capacity,0.4117267446289669,4,4.0,equal
HRV,Accountability,0.5926491651818683,7,7.0,equal
HRV,Economic and fiscal governance,0.544657890485885,6,4.75,equal
HRV,Political foundations,0.5830720025807683,2,2.0,equal
HRV,Rule of law,0.6082782482544546,5,5.0,equal
HRV,State capacity,0.5831422078006143,4,4.0,equal
HTI,Accountability,0.4071912504124695,7,7.0,equal
HTI,Economic and fiscal governance,0.40241570404577226,6,4.75,equal
HTI,Political foundations,0.3248571448251669,2,2.0,equal
HTI,Rule of law,0.313723991302205,5,5.0,equal
HTI,State capacity,0.26603334700007686,4,4.0,equal
HUN,Accountability,0.4547196414686212,7,7.0,equal
HUN,Economic and fiscal governance,0.5217035195411546,6,4.75,equal
HUN,Political foundations,0.528899054737373,2,2.0,equal
HUN,Rule of law,0.5118370893915822,5,5.0,equal
HUN,State capacity,0.6169961070627451,4,4.0,equal
IDN,Accountability,0.4924658498971187,7,7.0,equal
IDN,Economic and fiscal governance,0.49383773557142097,6,4.75,equal
IDN,Political foundations,0.41059850957094696,2,2.0,equal
IDN,Rule of law,0.44034934016642185,5,5.0,equal
IDN,State capacity,0.5207919397820646,4,4.0,equal
IMN,Economic and fiscal governance,0.3566610148329325,2,1.25,equal
IMN,Rule of law,0.991410307630843,1,1.0,equal
IMN,State capacity,0.6779748782335475,1,1.0,equal
IND,Accountability,0.4504804466477021,7,7.0,equal
IND,Economic and fiscal governance,0.4798060818022097,6,4.75,equal
IND,Political foundations,0.40248425463082227,2,2.0,equal
IND,Rule of law,0.44384388629444765,5,5.0,equal
IND,State capacity,0.5000927465185285,4,4.0,equal
IRL,Accountability,0.7008567174558994,7,7.0,equal
IRL,Economic and fiscal governance,0.6745298487138784,6,4.75,equal
IRL,Political foundations,0.6838262598182765,2,2.0,equal
IRL,Rule of law,0.7458819620983119,5,5.0,equal
IRL,State capacity,0.6718363526645569,4,4.0,equal
IRN,Accountability,0.3176952533272773,7,7.0,equal
IRN,Economic and fiscal governance,0.28854421476316827,5,4.0,equal
IRN,Political foundations,0.32125237845833987,2,2.0,equal
IRN,Rule of law,0.35670358750955955,5,5.0,equal
IRN,State capacity,0.47413699851413416,4,4.0,equal
IRQ,Accountability,0.41906088639298333,7,7.0,equal
IRQ,Economic and fiscal governance,0.3824393062682466,6,4.75,equal
IRQ,Political foundations,0.34994047307424414,2,2.0,equal
IRQ,Rule of law,0.3684734007952799,5,5.0,equal
IRQ,State capacity,0.3901367831967252,4,4.0,equal
ISL,Accountability,0.6527834196055524,7,7.0,equal
ISL,Economic and fiscal governance,0.5521180081779917,6,4.75,equal
ISL,Political foundations,0.6857883251282928,2,2.0,equal
ISL,Rule of law,0.7281806606229483,5,5.0,equal
ISL,State capacity,0.6862562458994624,4,4.0,equal
ISR,Accountability,0.5577290235127019,7,7.0,equal
ISR,Economic and fiscal governance,0.6261236769637238,6,4.75,equal
ISR,Political foundations,0.4086756242508841,2,2.0,equal
ISR,Rule of law,0.605026291244861,5,5.0,equal
ISR,State capacity,0.6368933783306912,4,4.0,equal
ITA,Accountability,0.6279422404180688,7,7.0,equal
ITA,Economic and fiscal governance,0.6436612028136177,6,4.75,equal
ITA,Political foundations,0.6257200219643844,2,2.0,equal
ITA,Rule of law,0.6085463695715402,5,5.0,equal
ITA,State capacity,0.5964413963848478,4,4.0,equal
JAM,Accountability,0.6074510265321552,7,7.0,equal
JAM,Economic and fiscal governance,0.4857807986923001,6,4.75,equal
JAM,Political foundations,0.5763273441657653,2,2.0,equal
JAM,Rule of law,0.5574620974133484,5,5.0,equal
JAM,State capacity,0.5284883800512625,4,4.0,equal
JOR,Accountability,0.4535335486639752,7,7.0,equal
JOR,Economic and fiscal governance,0.5589161018173843,6,4.75,equal
JOR,Political foundations,0.4801651876342887,2,2.0,equal
JOR,Rule of law,0.5437291494041909,5,5.0,equal
JOR,State capacity,0.545463986241476,4,4.0,equal
JPN,Accountability,0.6502060964713883,7,7.0,equal
JPN,Economic and fiscal governance,0.6539165887351609,6,4.75,equal
JPN,Political foundations,0.6764853876288512,2,2.0,equal
JPN,Rule of law,0.7132789987904236,5,5.0,equal
JPN,State capacity,0.671793860719643,4,4.0,equal
KAZ,Accountability,0.37659329676446734,7,7.0,equal
KAZ,Economic and fiscal governance,0.5128366707530511,6,4.75,equal
KAZ,Political foundations,0.4611119055342417,2,2.0,equal
KAZ,Rule of law,0.42220246054965926,5,5.0,equal
KAZ,State capacity,0.5439415204960201,4,4.0,equal
KEN,Accountability,0.5395354173385254,7,7.0,equal
KEN,Economic and fiscal governance,0.48018609649971916,6,4.75,equal
KEN,Political foundations,0.39748134870282537,2,2.0,equal
KEN,Rule of law,0.4474681968075946,5,5.0,equal
KEN,State capacity,0.4477904283395202,4,4.0,equal
KGZ,Accountability,0.40050002745347635,7,7.0,equal
KGZ,Economic and fiscal governance,0.46132858855634973,6,4.75,equal
KGZ,Political foundations,0.472321284332227,2,2.0,equal
KGZ,Rule of law,0.396944381655206,5,5.0,equal
KGZ,State capacity,0.4999225703261123,4,4.0,equal
KHM,Accountability,0.2819039344019482,7,7.0,equal
