country_code_epi,country_code,country_name,epi_epi,epi_cch,epi_eco,epi_hlt,epi_bdh,epi_agr,epi_fsh,epi_wrs,year,epi_mkp,epi_mpe,epi_mhp
422,LBN,Lebanon,39.9,38.0,37.5,46.5,23.6,50.6,96.2,46.8,2024,5.0,50.0,0.0
426,LSO,Lesotho,32.3,53.3,23.5,10.9,13.7,45.5,,0.3,2022,,,
426,LSO,Lesotho,36.9,41.7,46.9,13.0,59.1,34.3,,11.7,2024,,,
430,LBR,Liberia,24.9,30.5,20.9,22.9,26.8,22.4,20.7,0.0,2022,,,
430,LBR,Liberia,34.3,38.4,30.3,36.4,25.7,34.0,68.8,12.4,2024,,100.0,4.5
440,LTU,Lithuania,55.9,47.1,61.0,61.8,84.4,65.6,13.4,52.3,2022,,,
440,LTU,Lithuania,64.1,52.4,74.3,59.8,74.9,67.0,80.1,72.7,2024,61.1,68.8,100.0
442,LUX,Luxembourg,72.3,67.4,70.0,86.7,84.8,55.9,,98.0,2022,,,
442,LUX,Luxembourg,75.1,62.4,83.1,76.1,84.8,62.8,,90.6,2024,,,
450,MDG,Madagascar,28.0,28.4,29.5,24.4,31.0,35.9,30.2,0.0,2022,,,
450,MDG,Madagascar,30.1,36.1,28.0,26.7,26.4,48.2,49.3,12.5,2024,19.8,55.2,14.8
454,MWI,Malawi,40.6,33.1,54.1,26.7,82.4,36.7,,0.0,2022,,,
454,MWI,Malawi,35.1,17.7,54.5,21.0,68.1,46.6,,30.7,2024,,,
458,MYS,Malaysia,35.0,27.2,36.0,48.0,51.9,40.5,14.3,12.6,2022,,,
458,MYS,Malaysia,41.0,39.9,38.9,45.8,28.0,63.6,52.0,46.8,2024,6.2,86.1,12.4
462,MDV,Maldives,37.4,33.5,35.7,48.5,11.3,14.1,56.7,3.8,2022,,,
462,MDV,Maldives,38.1,27.9,39.3,48.0,12.0,55.8,90.5,40.4,2024,0.0,26.8,1.3
466,MLI,Mali,28.5,21.9,38.4,20.4,46.9,30.7,,0.0,2022,,,
466,MLI,Mali,34.5,16.5,44.7,37.7,51.0,66.4,,11.2,2024,,,
470,MLT,Malta,75.2,82.3,68.2,76.5,72.9,28.3,47.8,0.0,2022,,,
470,MLT,Malta,66.9,63.6,65.6,73.0,67.1,43.5,56.9,52.3,2024,99.3,36.8,57.9
584,MHL,Marshall Islands,36.2,55.8,18.7,35.8,8.0,1.7,44.2,,2022,,,
584,MHL,Marshall Islands,42.5,41.0,34.3,55.6,12.6,77.8,86.9,40.0,2024,0.2,100.0,5.1
478,MRT,Mauritania,28.1,27.8,30.2,24.0,10.7,27.2,18.2,0.0,2022,,,
478,MRT,Mauritania,34.6,24.8,34.5,46.5,36.2,42.1,77.1,14.0,2024,45.4,100.0,20.7
480,MUS,Mauritius,44.8,46.4,37.2,57.6,18.0,20.0,18.5,2.8,2022,,,
480,MUS,Mauritius,47.3,45.8,33.5,70.4,13.4,68.6,75.7,37.4,2024,0.8,1.7,17.1
484,MEX,Mexico,45.5,38.9,53.7,40.9,69.8,50.6,19.8,25.2,2022,,,
484,MEX,Mexico,44.2,46.4,46.6,37.1,31.7,56.8,38.4,69.5,2024,55.5,53.7,48.6
583,FSM,Micronesia,37.4,49.2,29.4,31.9,3.6,19.4,0.0,,2022,,,
583,FSM,Micronesia,40.8,44.4,27.4,56.8,4.4,47.0,85.3,25.5,2024,0.0,88.5,0.0
498,MDA,Moldova,42.7,42.9,42.9,42.0,49.8,36.0,,9.2,2022,,,
498,MDA,Moldova,46.1,45.4,49.1,41.8,53.3,49.9,,22.4,2024,,,
496,MNG,Mongolia,29.6,14.6,45.9,23.8,67.7,22.7,,3.3,2022,,,
496,MNG,Mongolia,37.2,17.6,55.2,28.5,64.2,29.0,,43.8,2024,,,
499,MNE,Montenegro,46.9,52.3,44.7,41.3,52.6,34.7,14.4,8.4,2022,,,
499,MNE,Montenegro,47.7,43.1,50.2,48.7,42.1,43.0,47.9,43.6,2024,14.5,75.1,0.0
504,MAR,Morocco,28.4,29.5,27.2,28.6,16.6,49.0,21.2,5.4,2022,,,
504,MAR,Morocco,39.5,34.9,40.0,44.1,30.1,35.6,49.6,57.1,2024,5.2,100.0,6.6
508,MOZ,Mozambique,31.7,19.3,44.5,28.3,65.2,30.4,57.1,20.0,2022,,,
508,MOZ,Mozambique,39.0,35.7,48.8,25.2,57.1,40.1,66.9,12.0,2024,34.2,54.7,16.6
104,MMR,Myanmar,19.4,17.3,20.2,21.6,21.8,43.0,15.1,0.0,2022,,,
104,MMR,Myanmar,27.1,35.6,26.9,17.2,23.0,59.6,36.0,13.6,2024,5.1,98.1,2.1
516,NAM,Namibia,50.9,64.6,51.3,24.2,73.9,14.8,26.5,5.0,2022,,,
516,NAM,Namibia,44.0,30.3,62.7,26.8,69.5,25.5,34.2,30.0,2024,7.5,73.4,7.7
524,NPL,Nepal,28.3,24.1,37.5,17.1,51.1,27.1,,0.0,2022,,,
524,NPL,Nepal,33.1,25.8,47.9,14.7,54.2,65.6,,13.2,2024,,,
528,NLD,Netherlands,62.6,54.5,60.0,83.3,80.1,29.3,13.0,100.0,2022,,,
528,NLD,Netherlands,66.9,60.7,66.7,74.8,60.5,68.0,22.5,89.2,2024,77.7,32.6,53.2
554,NZL,New Zealand,56.7,40.4,57.9,84.9,76.6,64.9,7.4,79.9,2022,,,
554,NZL,New Zealand,57.3,47.6,50.0,82.1,38.5,72.9,31.4,70.7,2024,27.2,61.2,24.5
558,NIC,Nicaragua,37.7,34.5,40.9,37.1,60.1,31.9,14.4,0.0,2022,,,
558,NIC,Nicaragua,47.4,37.6,58.5,39.3,65.5,51.6,48.9,40.7,2024,97.1,100.0,40.6
562,NER,Niger,37.7,17.9,64.7,18.8,77.1,21.6,,0.0,2022,,,
562,NER,Niger,40.0,19.4,59.0,30.6,69.9,55.9,,12.5,2024,,,
566,NGA,Nigeria,28.3,29.6,33.3,15.2,45.7,28.6,23.3,0.2,2022,,,
